Index_agg,Country or area,Country Code,ISO3 Alpha Code,ISO2 Alpha Code,City Code,Urban Agglomeration,Location type,Data,Sources,Statistical Concept,Note,Urban Population,Cluster
9,Algeria,12,DZA,DZ,20006,El Djazaïr  (Algiers),Capital,Urban agglomerations and capital cities,"Censuses of 1954, 1960, 1966, 1977, 1987, 1998 and 2008.",Urban Agglomeration,Refers to the Governorate of Grand Algiers.,Urban Population,0
16,Angola,24,AGO,AO,895000001,Benguela,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970 and 2014; Estimates for 1950 and 1983; UN Estimate for 1993.",Urban Agglomeration,"Estimate for 2014 refers to the urban population of the ""municipio"" of Benguela.",Urban Population,2
17,Angola,24,AGO,AO,204043,Cabinda,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970 and 2014; UN Estimate for 1993.",Urban Agglomeration,"Estimate for 2014 refers to the urban population of the ""municipio"" of Cabinda.",Urban Population,0
19,Angola,24,AGO,AO,20050,Huambo,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970 and 2014; Estimates for 1950, 1983 and 1993.",Urban Agglomeration,"Estimate for 2014 refers to the urban population of the ""municipio"" of Huambo.",Urban Population,0
20,Angola,24,AGO,AO,895000000,Lobito,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970 and 2014; Estimates for 1950 and 1983.",Urban Agglomeration,"Estimate for 2014 refers to the urban population of the ""municipio"" of Lobito.",Urban Population,2
21,Angola,24,AGO,AO,20049,Luanda,Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1983 and 2014; Estimates for 1950, 1993 and 2018.",Urban Agglomeration,Estimate for 2014 refers to the urban population of the province of Luanda.,Urban Population,0
22,Angola,24,AGO,AO,204044,Lubango,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970 and 2014; Estimate for 1950; UN Estimate for 1993.",Urban Agglomeration,"Estimate for 2014 refers to the urban population of the ""municipio"" of Lubango.",Urban Population,0
23,Angola,24,AGO,AO,895000004,Malanje,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970 and 2014; Estimate for 1950.",Urban Agglomeration,"Estimate for 2014 refers to the urban population of the ""municipio"" of Malanje.",Urban Population,2
28,Argentina,32,ARG,AR,20058,Buenos Aires,Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991, 2001 and 2010; Estimate for 2017.",Urban Agglomeration,"Refers to Gran Buenos Aires. Data for 2001 and 2010 refer to the urban agglomeration including Buenos Aires city, 24 districts of Gran Buenos Aires and some districts of the suburbs.",Urban Population,0
29,Argentina,32,ARG,AR,20059,Córdoba,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991, 2001 and 2010; Estimate for 2016.",Urban Agglomeration,Refers to Gran Córdoba.,Urban Population,0
30,Argentina,32,ARG,AR,20063,Corrientes,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991 and 2001; Estimate for 2016.",Urban Agglomeration,Refers to Gran Corrientes.,Urban Population,0
31,Argentina,32,ARG,AR,20065,La Plata,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991, 2001 and 2010; Estimate for 2016.",Urban Agglomeration,Refers to Gran La Plata.,Urban Population,0
33,Argentina,32,ARG,AR,20068,Mendoza,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991, 2001 and 2010; Estimate for 2016.",Urban Agglomeration,Refers to Gran Mendoza.,Urban Population,0
36,Argentina,32,ARG,AR,20073,Resistencia,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991, 2001 and 2010; Estimate for 2016.",Urban Agglomeration,Refers to Gran Resistencia.,Urban Population,0
37,Argentina,32,ARG,AR,20075,Rosario,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991 and 2001; Estimate for 2016.",Urban Agglomeration,Refers to Gran Rosario.,Urban Population,0
39,Argentina,32,ARG,AR,20078,San Juan,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991, 2001 and 2010; Estimate for 2016.",Urban Agglomeration,Refers to Gran San Juan.,Urban Population,0
40,Argentina,32,ARG,AR,20081,San Miguel de Tucumán,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991, 2001 and 2010.",Urban Agglomeration,Refers to Gran San Miguel de Tucumán.,Urban Population,0
41,Argentina,32,ARG,AR,20084,San Salvador de Jujuy,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991 and 2001; Estimate for 2016.",Urban Agglomeration,Refers to Gran San Salvador de Jujuy.,Urban Population,0
42,Argentina,32,ARG,AR,20085,Santa Fe,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991, 2001 and 2010; Estimate for 2016.",Urban Agglomeration,Refers to Gran Santa Fe.,Urban Population,0
43,Argentina,32,ARG,AR,20086,Santiago Del Estero,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1960, 1970, 1980, 1991 and 2001; Estimate for 2016.",Urban Agglomeration,"Refers to Santiago del Estero-La Banda, including the locality of El Zanjón.",Urban Population,0
